"Tag","population","ID","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","petri_dish","family","common_garden","mortality"
"d|VSGARO1-1-0|Q|539","VSGAR01","539",3,2,21,"539_1",0.374696775,0.12983229,0.145698347,0.108647852,79,70,11803,3,8,3,"Dead","Dead","Dead","Dead",9.8e-07,-9.89e-08,2.43e-07,-1.77e-07,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|539","VSGAR01","539",3,2,21,"539_2",0.28558501,0.09669731,0.231450074,0.112882684,35,27,11803,3,8,3,"Dead","Dead","Dead","Dead",9.8e-07,-9.89e-08,2.43e-07,-1.77e-07,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|540","VSGAR01","540",1,5,10,"540_1",0.159326445,0.09307774,0.13245537,0.100124032,50,52,4950,2,3,1,"Dead","Dead","Dead","Dead",2.11e-06,1.11e-06,2.32e-07,2.92e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|540","VSGAR01","540",1,5,10,"540_2",0.118843,0.065993415,0.119229636,0.044204746,47,50,4950,2,3,1,"Dead","Dead","Dead","Dead",2.11e-06,1.11e-06,2.32e-07,2.92e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|541","VSGAR01","541",3,3,12,"541_1",0.54883894,0.150789005,0.253797598,0.151147809,52,40,11456,3,2,5,"Dead","Dead","Dead","Dead",9.86e-07,-2.89e-09,-1.79e-08,-3.68e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|541","VSGAR01","541",3,3,12,"541_2",0.141205715,0.058107975,0.158561968,0.077671838,69,69,11456,3,2,5,"Dead","Dead","Dead","Dead",9.86e-07,-2.89e-09,-1.79e-08,-3.68e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|542","VSGAR01","542",1,4,9,"542_1",0.397075715,0.12408246,0.248193473,0.12304195,48,42,13132,3,3,1,"Dead","Dead","Dead","Dead",4.86e-07,3.37e-07,-2.5e-08,5.41e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|542","VSGAR01","542",1,4,9,"542_2",0.31789113,0.140544085,0.13514535,0.065887956,83,75,13132,3,3,1,"Dead","Dead","Dead","Dead",4.86e-07,3.37e-07,-2.5e-08,5.41e-08,"d","1-0","Q","0"
"d|VSGARO1-1-0|Q|543","VSGAR01","543",4,3,1,"543_1",0.4496556,0.15836148,0.278352285,0.131544108,56,52,9718,2,6,2,"40","41","89","15",1.44e-06,4.97e-07,8.43e-08,-1.17e-07,"d","1-0","Q","1"
"d|VSGARO1-1-0|Q|543","VSGAR01","543",4,3,1,"543_2",0.192862405,0.080181775,0.158837864,0.079437254,83,82,9718,2,6,2,"40","41","89","15",1.44e-06,4.97e-07,8.43e-08,-1.17e-07,"d","1-0","Q","1"
"e|VSGARO1-1-0|Q|545","VSGAR01","545",3,1,19,"545_1",0.32180943,0.109738955,0.165683517,0.091286121,53,45,10267,3,4,2,"Dead","Dead","Dead","Dead",4.07e-07,1.72e-07,5.24e-08,-3.28e-09,"e","1-0","Q","0"
"e|VSGARO1-1-0|Q|545","VSGAR01","545",3,1,19,"545_2",0.466561085,0.142685045,0.209171523,0.114420654,64,66,10267,3,4,2,"Dead","Dead","Dead","Dead",4.07e-07,1.72e-07,5.24e-08,-3.28e-09,"e","1-0","Q","0"
"e|VSGARO1-1-0|Q|546","VSGAR01","546",2,3,4,"546_1",0.46869871,0.15077419,0.306631559,0.108101937554967,40,45,1800,1,7,3,"Dead","Dead","Dead","Dead",8.82e-07,5.01e-07,1.54e-07,-4.34e-07,"e","1-0","Q","0"
"e|VSGARO1-1-0|Q|548","VSGAR01","548",3,3,17,"548_2",0.350034185,0.108272485,0.153957964,0.092076767,68,60,9232,3,9,4,"Dead","Dead","Dead","Dead",3.93e-07,-3.95e-09,-5.75e-09,1.94e-08,"e","1-0","Q","0"
"e|CRSOSO-3-40|Q|54","CRSORO","54",1,4,12,"54_1",0.40201456,0.11829621,0.216258585,0.090473813,75,70,17238,4,8,2,"8","6","33","4",9.63e-07,4.14e-07,-3.22e-08,5.9e-08,"e","3-40","Q","1"
"e|CRSOSO-3-40|Q|54","CRSORO","54",1,4,12,"54_2",0.18808581,0.107324125,0.155371928,0.082253255,81,84,17238,4,8,2,"8","6","33","4",9.63e-07,4.14e-07,-3.22e-08,5.9e-08,"e","3-40","Q","1"
"a|WSSWM3-1-0|Q|552","WSSWM3","552",1,5,14,"552_1",0.378164035,0.25827918,0.369173589,0.153357287,56,55,11662,4,5,3,"Dead","Dead","Dead","Dead",8.42e-07,8.9e-07,1.32e-07,2.03e-08,"a","1-0","Q","0"
"a|WSSWM3-1-0|Q|552","WSSWM3","552",1,5,14,"552_2",0.48239898,0.20510745,0.256866934,0.088210181,76,76,11662,4,5,3,"Dead","Dead","Dead","Dead",8.42e-07,8.9e-07,1.32e-07,2.03e-08,"a","1-0","Q","0"
