"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","ChlorA","ChlorB","gluc_Conc","flav_Conc","RGR1","RGR2","RGR3","RGR4","mortality"
"a|CBMCK1-1-0|N|35","a","CBMCK1","1-0","N","35",3,6,1,4,1,46,27,8622,3,30,5,10,9,0.444568285,-0.019359585,0.14556039936,0.14065278877,3.59e-07,1.22e-07,-4.49e-08,6.75e-08,"1"
"a|CBMCK1-1-0|N|35","a","CBMCK1","1-0","N","35",3,6,1,4,1,64,60,8622,3,30,5,10,9,0.18823102,0.07178234,0.203096599080347,0.108101937554212,3.59e-07,1.22e-07,-4.49e-08,6.75e-08,"1"
"b|CBMCK1-1-0|N|38","b","CBMCK1","1-0","N","38",3,6,5,1,5,34,39,5619,3,61,22,28,30,0.35162179,0.15327544,0.23981315172,0.191806534372,5.59e-07,2.33e-07,1.46e-07,7.83e-08,"1"
"b|CBMCK1-1-0|N|38","b","CBMCK1","1-0","N","38",3,6,5,1,5,43,44,5619,3,61,22,28,30,0.354551995,0.10172265,0.22907047614,0.154613656456,5.59e-07,2.33e-07,1.46e-07,7.83e-08,"1"
"d|MSMID1-1-20|Q|390","d","MSMID1","1-20","Q","390",1,4,4,7,4,64,78,10299,3,8,1,1,1,0.15318858,0.0503533999999999,0.18556522656,0.096094984534,9.63016919739696e-07,2.94e-07,2.45e-10,2.17e-08,"1"
"d|MSMID1-1-20|Q|390","d","MSMID1","1-20","Q","390",1,4,4,7,4,34,28,10299,3,8,1,1,1,0.33980036,0.12762384,0.16302802434,0.094177937536,9.63016919739696e-07,2.94e-07,2.45e-10,2.17e-08,"1"
"d|MSMID1-1-20|Q|396","d","MSMID1","1-20","Q","396",2,1,10,4,5,64,63,8309,3,150,17,23,18,0.592058705,0.155455495,0.2044295718,0.140187065488,7.76e-07,7.59e-08,-1.12e-07,-1.99e-08,"1"
"d|MSMID1-1-20|Q|396","d","MSMID1","1-20","Q","396",2,1,10,4,5,32,25,8309,3,150,17,23,18,0.423584695,0.170052705,0.2390889264,0.182058837772,7.76e-07,7.59e-08,-1.12e-07,-1.99e-08,"1"
"d|RULEB1-20|N|426","d","RULEB1","20","N","426",3,1,2,4,1,61,52,12474,4,70,14,17,20,0.347443075,0.0951485350000001,0.29011232454,0.108101937554212,5.25e-07,9.18e-08,-4.05e-08,-1.13e-08,"1"
"d|RULEB1-20|N|426","d","RULEB1","20","N","426",3,1,2,4,1,66,67,12474,4,70,14,17,20,0.25225916,0.08259393,0.25033166232,0.088145196418,5.25e-07,9.18e-08,-4.05e-08,-1.13e-08,"1"
"c|CBMCK1-1-0|N|42","c","CBMCK1","1-0","N","42",4,3,15,8,5,45,44,10757,3,62,7,15,12,0.466253625,0.15687073,0.09819261474,0.142396543384,1.14e-06,7.89e-08,-1.03013304157549e-08,-7.27984739130435e-09,"1"
"c|CBMCK1-1-0|N|42","c","CBMCK1","1-0","N","42",4,3,15,8,5,63,67,10757,3,62,7,15,12,0.205443965,0.04192022,0.12340255326,0.103698187882,1.14e-06,7.89e-08,-1.03013304157549e-08,-7.27984739130435e-09,"1"
"b|SMAKC1-B|N|439","b","SMAKC1","B","N","439",4,4,5,5,2,65,55,11558,4,77,10,16,16,0.33275634,0.129592165,0.203096599080347,0.108101937554212,5.79e-07,3.16e-08,-4.26e-08,9.52e-09,"1"
"b|SMAKC1-B|N|439","b","SMAKC1","B","N","439",4,4,5,5,2,34,25,11558,4,77,10,16,16,0.424604425,0.14030931,0.34905047082,0.1400570962,5.79e-07,3.16e-08,-4.26e-08,9.52e-09,"1"
"b|SMAKC1-B|N|444","b","SMAKC1","B","N","444",4,3,19,6,5,65,60,9761,3,86,41,43,42,0.29062202,0.158486995,0.25843608852,0.112806868816,6.95e-07,1.21e-07,-4.98e-08,-5.42e-09,"1"
"d|SMAKC1-B|N|445","d","SMAKC1","B","N","445",1,6,11,3,1,57,55,9960,3,45,5,8,5,0.339039415,0.13677472,0.20441232834,0.119619425662,9e-07,1.24e-07,3.76e-08,6.98e-08,"1"
"d|SMAKC1-B|N|445","d","SMAKC1","B","N","445",1,6,11,3,1,61,65,9960,3,45,5,8,5,0.34088499,0.106422885,0.17782291302,0.091112828494,9e-07,1.24e-07,3.76e-08,6.98e-08,"1"
"a|SMITH1-20|Q|456","a","SMITH1","20","Q","456",1,4,15,6,4,53,52,6162,3,3,2,2,2,0.086472795,0.068366475,0.13826641578,0.051147272434,5.06e-07,3.68e-07,3.36e-08,4.23e-08,"1"
"a|SMITH1-20|Q|456","a","SMITH1","20","Q","456",1,4,15,6,4,52,51,6162,3,3,2,2,2,0.170160595,0.152743955,0.12366120516,0.084051163846,5.06e-07,3.68e-07,3.36e-08,4.23e-08,"1"
"c|SMITH1-20|Q|467","c","SMITH1","20","Q","467",3,2,1,4,1,59,44,6316,2,94,8,18,18,0.1423934,0.433056605,0.45690831312,0.165054522592,1.68e-06,5.83e-07,-8.23e-08,-8.08e-08,"1"
"c|SMITH1-20|Q|468","c","SMITH1","20","Q","468",1,1,2,1,1,40,43,16542,4,127,9,19,18,0.310716495,0.070665255,0.25940172228,0.1075647742,1.45e-06,1.26e-06,2.14e-08,1.05e-07,"1"
"c|SMITH1-20|Q|468","c","SMITH1","20","Q","468",1,1,2,1,1,79,82,16542,4,127,9,19,18,0.262106845,0.231037035,0.22786343394,0.077260268548,1.45e-06,1.26e-06,2.14e-08,1.05e-07,"1"
"b|VRCAN-1-40|Q|484","b","VRCAN","1-40","Q","484",2,2,11,4,5,41,37,8069,3,146,15,23,20,0.229928895,0.09475059,0.20396399838,0.105225327016,1.15e-06,-1.48e-07,-1.44e-08,9.84e-08,"1"
"b|VRCAN-1-40|Q|484","b","VRCAN","1-40","Q","484",2,2,11,4,5,63,62,8069,3,146,15,23,20,0.274071855,0.1116223,0.1387319892,0.073415343778,1.15e-06,-1.48e-07,-1.44e-08,9.84e-08,"1"
"b|VRCAN-1-40|Q|487","b","VRCAN","1-40","Q","487",1,1,6,2,1,67,72,7127,2,41,7,12,16,0.27442799,0.103843445,0.15121625424,0.084830979574,1.05e-06,3.82e-07,-5.86e-08,-6.67e-08,"1"
"c|VRCAN-1-40|Q|491","c","VRCAN","1-40","Q","491",2,2,21,8,6,34,36,1452,2,72,3,10,13,0.53816867,0.22200344,0.19637687598,0.094546183852,9.82e-07,2.66e-07,1.08e-07,5.02e-08,"1"
"c|VRCAN-1-40|Q|497","c","VRCAN","1-40","Q","497",2,4,13,3,3,43,42,3612,2,63,7,13,13,0.174661365,0.089296235,0.11612581314,0.057190844326,3.14e-07,1.98e-07,2.1e-07,7.13e-08,"1"
"d|VRCAN-1-40|Q|501","d","VRCAN","1-40","Q","501",4,1,22,8,5,70,73,5209,2,60,9,21,20,0.530831785,0.13076851,0.15064722006,0.150985347166,1.33e-06,5.9e-07,-1.03013304157549e-08,-7.27984739130435e-09,"1"
"e|VRCAN-1-40|Q|504","e","VRCAN","1-40","Q","504",4,6,22,9,6,46,42,7028,3,72,8,36,36,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,3e-07,1.06e-06,-8.84e-08,4.09e-08,"1"
"e|VRCAN-1-40|Q|504","e","VRCAN","1-40","Q","504",4,6,22,9,6,49,56,7028,3,72,8,36,36,0.285181015,0.15283161,0.18653086032,0.127352598298,3e-07,1.06e-06,-8.84e-08,4.09e-08,"1"
"a|VRPET2-3-20|Q|508","a","VRPET2","3-20","Q","508",2,1,1,1,2,52,52,10444,3,84,8,20,17,0.26893831,0.09178123,0.203096599080347,0.108101937554212,6.74e-07,1.58e-07,6.34e-08,-1.87e-07,"1"
"a|VRPET2-3-20|Q|508","a","VRPET2","3-20","Q","508",2,1,1,1,2,60,65,10444,3,84,8,20,17,0.12563068,0.24890443,0.203096599080347,0.108101937554212,6.74e-07,1.58e-07,6.34e-08,-1.87e-07,"1"
