"Tag","petri_dish","population","family","common_garden","ID","treatment","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Fern","ThripsDam","WhiteFungDam","BlackPathDam","GA3","Region","Latitude","Longitude","Altitude","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","GM_Fecundity"
"b|JBBLB2-1-20|Q|200","b","JBBLB2","1-20","Q","200","m",4,4,3,"200_2",0.237377725,0.09141024,0.147681345,0.094795292,4,2,2,65,63,5121,2,1,10,0,0,"y","NorthAm",38.90765,-75.05181667,0,3,2,"5","2","5","2",1.63e-06,4.07e-07,-1e-07,-2.2e-07,NA
"d|JBBLB2-1-20|Q|201","d","JBBLB2","1-20","Q","201","a",3,6,7,"201_1",0.39937559,0.153527705,0.261660616,0.134078509,15,2,1,58,54,10572,3,0,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,1,6,"Dead","Dead","Dead","Dead",8.4e-07,1.63e-07,-1.22e-07,5.53e-08,NA
"d|JBBLB2-1-20|Q|201","d","JBBLB2","1-20","Q","201","a",3,6,7,"201_2",0.233005125,0.06241829,0.143335993,0.088080212,15,2,2,60,65,10572,3,0,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,1,6,"Dead","Dead","Dead","Dead",8.4e-07,1.63e-07,-1.22e-07,5.53e-08,NA
"b|JBBLB2-1-20|Q|202","b","JBBLB2","1-20","Q","202","m",2,1,7,"202_1",0.10796099,0.054682645,0.1325071,0.062108016,0,0,1,44,38,2512,2,0,1,0,0,"y","NorthAm",38.90765,-75.05181667,0,1,3,"Dead","Dead","Dead","Dead",-8.2e-08,2.45e-06,3.94e-07,1.4e-08,NA
"b|JBBLB2-1-20|Q|204","b","JBBLB2","1-20","Q","204","a",2,3,8,"204_1",0.23533745,0.096134755,0.197583918,0.066050417,2,1,1,49,49,6481,2,1,1,0,0,"y","NorthAm",38.90765,-75.05181667,0,3,4,"Dead","Dead","Dead","Dead",1.55e-06,5.33e-07,2.97e-07,8.16e-08,NA
"b|JBBLB2-1-20|Q|205","b","JBBLB2","1-20","Q","205","a",2,5,19,"205_1",0.703955035,0.236230895,0.390762401,0.138335003,0,0,1,60,64,8329,2,2,0,1,0,"y","NorthAm",38.90765,-75.05181667,0,3,5,"Dead","Dead","Dead","Dead",2.59e-06,8.93e-07,4.44e-08,1.71e-07,NA
"b|JBBLB2-1-20|Q|205","b","JBBLB2","1-20","Q","205","a",2,5,19,"205_2",0.685801855,0.19698991,0.230467196,0.106460035,0,0,2,67,67,8329,2,2,8,0,1,"y","NorthAm",38.90765,-75.05181667,0,3,5,"Dead","Dead","Dead","Dead",2.59e-06,8.93e-07,4.44e-08,1.71e-07,NA
"b|JBBLB2-1-20|Q|206","b","JBBLB2","1-20","Q","206","m",4,2,20,"206_1",0.16335832,0.07722188,0.173218909,0.14150842,11,3,1,72,64,4608,1,0,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,NA,NA,NA,NA,NA,NA,9.95e-07,2.23e-07,-1.92e-07,1.13e-07,NA
"c|JBBLB2-1-20|Q|208","c","JBBLB2","1-20","Q","208","m",2,2,16,"208_1",0.386566065,0.107128445,0.235502287,0.15592418,15,2,1,43,34,5492,2,7,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,4,6,"25","26","152","13",7.68e-07,1.77e-07,2.5e-08,-6.66e-08,1.32
"c|JBBLB2-1-20|Q|208","c","JBBLB2","1-20","Q","208","m",2,2,16,"208_2",0.307737615,0.115811215,0.133610682,0.06664611,15,2,2,62,65,5492,2,7,0,0,0,"y","NorthAm",38.90765,-75.05181667,0,4,6,"25","26","152","13",7.68e-07,1.77e-07,2.5e-08,-6.66e-08,1.32
"c|JBBLB2-1-20|Q|209","c","JBBLB2","1-20","Q","209","m",2,5,16,"209_1",0.468181955,0.246721495,0.178150539,0.098456093,23,2,1,49,50,5000,2,1,1,1,0,"y","NorthAm",38.90765,-75.05181667,0,4,6,"Dead","Dead","Dead","Dead",-1.47e-08,3.58e-07,-1.96e-08,1.57e-08,NA
"c|JBBLB2-1-20|Q|209","c","JBBLB2","1-20","Q","209","m",2,5,16,"209_2",0.17033744,0.066711115,0.116246517,0.06902888,23,2,2,50,51,5000,2,1,8,0,0,"y","NorthAm",38.90765,-75.05181667,0,4,6,"Dead","Dead","Dead","Dead",-1.47e-08,3.58e-07,-1.96e-08,1.57e-08,NA
"d|BWPEM1-9-0|Q|20","d","BWPEM1","9-0","Q","20","m",2,4,11,"20_1",0.1650595,0.137174105,0.120402191,0.082643163,18,2,1,75,74,6194,2,1,2,6,0,"y","NorthAm",37.373261,-80.524986,1156,4,5,"26","31","56","15",8.36e-07,-1.16e-07,-1.68e-07,-1.71e-07,2.87
"d|JBBLB2-1-20|Q|213","d","JBBLB2","1-20","Q","213","a",2,6,1,"213_1",0.40481578,0.104420815,0.227673756,0.128294876,10,2,1,57,61,9953,3,0,3,1,0,"y","NorthAm",38.90765,-75.05181667,0,1,2,"Dead","Dead","Dead","Dead",1.26e-06,1.05e-07,4.3e-08,-1.94e-08,NA
