"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","z_RGR1","z_RGR2","z_RGR3","z_RGR4","z_ChlorA","z_ChlorB","z_gluc_Conc","z_flav_Conc","z_Leaf_Len","z_Leaf_Wid","z_TotalLeaf_Area","z_NumberOfLeaves","mortality"
"c|DSGAR1-3-60|V|i119","c","DSGAR1","3-60","V","i119",4,6,11,3,6,1.91549276327631,0.259746883959045,-0.221432276700585,0.500610507713861,1.06554275383957,0.531977243971614,1.32868636519479,2.21217958537951,0.216992763959013,0.400365331485613,0.196442070800559,-1.18306901078916,"1"
"d|DSGAR1-3-60|V|i120","d","DSGAR1","3-60","V","i120",1,1,4,7,4,1.87062767762113,-0.35733508183258,-0.696958912594921,-1.0854262791195,-1.01199068434941,-0.68941774973598,-0.73818046034785,-1.66189949805514,1.49327080829369,1.75559831445217,1.11324125965265,0.112804254517106,"0"
"d|DSGAR1-3-60|V|i120","d","DSGAR1","3-60","V","i120",1,1,4,7,4,1.87062767762113,-0.35733508183258,-0.696958912594921,-1.0854262791195,-0.73789036127693,-0.580215556354908,-0.500057477987903,-1.4113046753556,1.81234031937736,2.04091052139249,1.11324125965265,0.112804254517106,"0"
"b|JKFRS1-6-0|V|i121","b","JKFRS1","6-0","V","i121",2,2,10,4,5,1.22008393562093,-0.723335620733075,-0.310140925782397,-1.14005441184625,-0.261590926620522,-0.096315657986978,1.5088669356251,2.07983526886466,0.775364408355434,0.828333641896103,0.505571344937084,0.112804254517106,"0"
"b|JKFRS1-6-0|V|i121","b","JKFRS1","6-0","V","i121",2,2,10,4,5,1.22008393562093,-0.723335620733075,-0.310140925782397,-1.14005441184625,-1.36196360369037,-1.05803389478015,-1.81900974954407,-1.94824447378727,1.0944339194391,2.04091052139249,0.505571344937084,0.112804254517106,"0"
"e|JKFRS1-6-0|V|i122","e","JKFRS1","6-0","V","i122",2,4,12,3,3,1.42197682106926,-0.452525212350764,-0.226863418481104,-1.15826378942183,-1.08276061117282,-0.861704923739403,-1.34987951962255,-0.819020890017718,0.775364408355434,0.68567753842594,-0.0612146790982,1.40867751982337,"1"
"a|LGESC1-3-60|V|i123","a","LGESC1","3-60","V","i123",2,5,17,2,6,1.24251647844852,-0.849457030727747,-0.305313244199713,-0.182241151370536,-0.864311546596201,-0.727589047974606,-0.70666792052647,-0.261112251826552,0.855131786126352,1.04231779710135,2.87889590536298,0.112804254517106,"0"
"a|LGESC1-3-60|V|i123","a","LGESC1","3-60","V","i123",2,5,17,2,6,1.24251647844852,-0.849457030727747,-0.305313244199713,-0.182241151370536,-0.264615611362189,-0.300327738296494,-1.59410170323825,-1.60518050526306,2.13140983046103,2.32622272833282,2.87889590536298,0.112804254517106,"0"
"d|LGESC1-3-60|V|i124","d","LGESC1","3-60","V","i124",4,2,6,5,2,1.42197682106926,-1.19934507803783,-0.370486945565942,0.970412449163926,0.316184366152768,0.291862273477906,3.55769029078614,3.2448090056668,-0.26161150266649,-0.312915185865205,0.754992490957801,0.112804254517106,"0"
"d|LGESC1-3-60|V|i124","d","LGESC1","3-60","V","i124",4,2,6,5,2,1.42197682106926,-1.19934507803783,-0.370486945565942,0.970412449163926,-0.735623036565874,-0.632921382412878,-0.381377186886414,-0.19648697519073,1.01466654166819,1.18497390057151,0.754992490957801,0.112804254517106,"0"
"a|MAVELK-1-20|N|i125","a","MAVELK1","1-20","N","i125",3,6,14,5,5,0.16575442272405,0.153163340135595,0.107393185099952,-0.221391313158041,-0.569800545743442,-0.269879743954844,-0.904383694567066,0.85951754515632,-0.0223093693537384,-0.241587134130123,-0.064744223617361,0.112804254517106,"1"
"a|MAVELK-1-20|N|i125","a","MAVELK1","1-20","N","i125",3,6,14,5,5,0.16575442272405,0.153163340135595,0.107393185099952,-0.221391313158041,0,0,0,0,0.376527519500848,0.68567753842594,-0.064744223617361,0.112804254517106,"1"
"a|MAVELK-1-20|N|i126","a","MAVELK1","1-20","N","i126",3,2,16,7,6,-0.12811188831742,-0.721826177234858,0.197972560795053,0.477848785744381,2.62643350721149,1.55576635467402,0.219394136805065,0,-1.05928528037566,-0.954867651480941,-0.435346398129275,1.40867751982337,"0"
"a|MAVELK-1-20|N|i126","a","MAVELK1","1-20","N","i126",3,2,16,7,6,-0.12811188831742,-0.721826177234858,0.197972560795053,0.477848785744381,3.03404099974788,1.75049377638868,0.064626904940382,0.712391915368385,-0.660448391521077,-1.0975237549511,-0.435346398129275,1.40867751982337,"0"
"a|MAVELK-1-20|N|i127","a","MAVELK1","1-20","N","i127",4,5,6,5,2,0.591972736448319,-1.00859728754,-0.479713241374158,-0.458113221640632,2.39513309901836,1.17174379646411,2.15029960102159,1.51264534094388,-0.819983147062911,-1.52549206536159,0.0346712803390095,0.112804254517106,"0"
"a|MAVELK-1-20|N|i127","a","MAVELK1","1-20","N","i127",4,5,6,5,2,0.591972736448319,-1.00859728754,-0.479713241374158,-0.458113221640632,1.49365559416007,1.1073015146209,0.511901663695459,0.332890290868664,0.296760141729931,0.543021434955776,0.0346712803390095,0.112804254517106,"0"
"e|MAVELK-1-20|N|i128","e","MAVELK1","1-20","N","i128",3,4,15,5,5,0.883595793207029,-0.502876748570807,-0.345141617256853,0.242037346140569,1.04305409135588,0.30035543598277,-0.174512610962191,2.02071001577231,-0.26161150266649,-0.883539599745859,-0.144158975298485,-1.18306901078916,"0"
"e|MAVELK-1-20|N|i128","e","MAVELK1","1-20","N","i128",3,4,15,5,5,0.883595793207029,-0.502876748570807,-0.345141617256853,0.242037346140569,0,0,0,0,1.73257294160644,1.82692636618725,-0.144158975298485,-1.18306901078916,"0"
"c|MAVELK-1-20|N|i129","c","MAVELK1","1-20","N","i129",3,3,2,4,1,2.02765547741428,1.92833063898821,-1.34266132427885,0.267530474746387,0.480492136913978,0.141468099200966,0,0,-1.53788954700117,-1.73947622056684,1.27412966398441,2.70455078512964,"0"
"c|MAVELK-1-20|N|i129","c","MAVELK1","1-20","N","i129",3,3,2,4,1,2.02765547741428,1.92833063898821,-1.34266132427885,0.267530474746387,0.596045293316325,-0.110040132570232,-0.406790525452043,0,0.775364408355434,0.757005590161022,1.27412966398441,2.70455078512964,"0"
"e|MAVELK-1-20|N|i130","e","MAVELK1","1-20","N","i130",4,4,12,NA,NA,2.00522293458668,-0.796900317738943,0.544962174550438,-0.885123125788075,-0.483064675938812,-0.43444361406129,-0.687099649830935,1.02761201470375,-0.26161150266649,-0.598227392805532,0.997354547940195,0.112804254517106,NA
